RecordType|SourceSystemId|LegalEntity|ReportingEntity|CostCentre|GLKey|GLBalanceCurrencyCode|GLBalance|BankingORTradingBook|GroupReconciliationKey|GLBalanceInReportingCCY|ReportingBalanceCurrencyCode
B|HUBAU|'4435'||AUHBAP|01511-L|AUD|-913552.32|T|WB80722|-764096.139|AUD
B|HUBAU|'4435'||AUHBAP|07656-A|AUD|1432806.45||SX99884|1214488.802|AUD
B|HUBAU|'4435'||AUHBAP|05209-A|AUD|808981.24|T|LM19754|753860.064|AUD
B|HUBAU|'4435'||AUHBAP|05104-A|AUD|150152.56|T|OG85507|146151.723|AUD
B|HUBAU|'4435'||AUHBAP|08711-L|AUD|-616409.52|T|PZ23033|-610756.051|AUD
B|HUBAU|'4435'||AUHBAP|07739-L|AUD|-368.88|T|NQ28481|-322.533|AUD
B|HUBAU|'4435'||AUHBAP|07058-A|AUD|-999.99|B|IM18879|-1088.54|AUD
B|HUBAU|'4435'||AUHBAP|00882-A|AUD|1175555.34|B|PH17376|1133604.536|AUD
B|HUBAU|'4435'||AUHBAP|06036-L|AUD|-43001.45|T|TI58644|-42840.13|AUD
B|HUBAU|'4435'|||05504-L|AUD|-805299.81|B|RL78003|-766269.512|AUD
|HUBAU|'4435'||AUHBAP|09894-L|AUD|-467763.41|B|UL80999|-466818.695|AUD
B|HUBAU|'4435'||AUHBAP|05376-A|AUD|117464.74|B|DI39996|129299.275|AUD
B|HUBAU|'4435'||AUHBAP||AUD|2686.84|B|BH64192|2676.987|AUD
B|HUBAU|'4435'||AUHBAP|03121-L|AUD|-167455.33|B|AA00|-162736.046|AUD
B|HUBAU|'4435'||AUHBAP|08067-A|AUD|337888.61|T|HB17687|381973.214|AUD
B|HUBAU|'4435'||AUHBAP|08211-A|AUD|116879.39|T|XX01727|101076.115|AUD
X|HUBAU|'4435'||AUHBAP|05162-L|SGD|-76810.4|B|CS63835|-84274.261|AUD
X|HUBAU|'4435'||AUHBAP|09538-A|AUD|377127.27||GD51510|328686.244|AUD
B|HUBAU|'4435'||AUHBAP|08441-A|CNY|1198655.37|T|TM55152|6393409.817|AUD
B|HUBAU|'4435'||AUHBAP|06077-A|AUD|62582.22|T|AM77252|70094.642|
B|HUBAU|'4435'||AUHBAP|05722-L|CNY|-637657.35|T|GP56692|-3381476.866|AUD
B|HUBAU|'4435'||AUHBAP|00340-L|AUD|-38183.67|T|IJ50294|-35408.153|AUD
B|HUBAU|'4435'||AUHBAP|04593-A|AUD|135413.18|x|WG31030|134496.358|
B|HUBAU|'4435'||AUHBAP|01418-L|AUD|-30535.08|T|HF18244|-29511.063|AUD
B|HUBAU|'4435'||AUHBAP|09374-L|AUD|-682674.14|T|UY50450|-736638.966|AUD
B|HUBAU|'4435'||AUHBAP|01014-L|SGD|-313191.77|B|XR06324|-344342.935|AUD
B|HUBAU|'4435'||AUHBAP|08368-A|SGD|147656.42|T|KK96358|156463.968|AUD
B|HUBAU|||AUHBAP|01282-L|AUD|-840122.76|B|PD95084|-874768.814|AUD
B|HUBAU|'4435'||AUHBAP|03265-A|CNY|77027.45|B|JV30096|403702.775|AUD
B|xxx|'4435'||AUHBAP|01983-L|SGD|-53614.78|T|FN22695|-49614.379|AUD
B|HBEU|'4435'||AUHBAP|08121-A|xxx|183133.44|B|QT52630|-183133.44|AUD
B|HUBAU|'4435'||AUHBAP|09164-A|CNY|161641.18||EP92674|853668.731|AUD
B|HUBAU|'4435'||AUHBAP|04453-A|AUD|-999.99|T|HO27397|-962.558|AUD
B|HUBAU|'4435'||AUHBAP|08935-L|xxx|-381212.91|B|CJ10699|381212.91|
B|HUBAU|'4435'||AUHBAP|05723-A|AUD|92568.06|B|LW72893|89894.563|AUD
B|HUBAU|'4435'||AUHBAP|02033-L|AUD|-338151.55|B|LH66386|-373666.321|AUD
B|HUBAU|'4435'||AUHBAP|03556-A|SGD|521808.17|T|FM02526|632924.299|AUD
B|HUBAU|'4435'||AUHBAP|00039-L|AUD|-23779.17|T|PA30651|-21756.372|AUD
B|HUBAU|||AUHBAP|x9999-L|AUD|-10578.61|B|AA00|-11241.035|AUD
B|HUBAU|'4435'||AUHBAP|08777-A|AUD|82693.91|B|AX84496|68977.74|AUD
B|HUBAU|'4435'||AUHBAP|00133-A|AUD|165375.05|B|SG34429|172700.275|AUD
B|HUBAU|'4435'||AUHBAP|04798-L|CNY|-85678.79|B|EZ86558|-440911.234|AUD
B|HUBAU|'4435'||AUHBAP|07012-L|SGD|-267782.95|B|CW37511|-282040.765|AUD
B|HUBAU|'4435'||AUHBAP|09738-L|CNY|-236134.58|B|DU58823|-1251706.682|AUD
B|HUBAU|'4435'||AUHBAP|01036-A|AUD|396891.16|B|YH27658|416519.99|AUD
B|HBEU|'4435'||AUHBAP|02466-L|AUD|-266861.51|x|UO08284|-250845.495|AUD
B|HBEU|'4435'||AUHBAP|x9999-L|SGD|-438767.56|T|TK47530|-507852.974|AUD
B|HUBAU|'4435'||AUHBAP|08344-A|AUD|1191382.47|T|SR63641|1133539.737|AUD
B|HUBAU|'4435'||AUHBAP|06279-L|AUD|-11335.33|T|OX89749|-12474.322|AUD
B|HUBAU|'4435'||AUHBAP|01119-A|AUD|1712327.84|B|YO49378|1363968.215|AUD
B|HUBAU|'4435'||AUHBAP|05273-A|AUD|907519.59|T|PE47020|836333.26|AUD
B|HUBAU|'4435'||AUHBAP|09268-L|AUD|-38341.87|T|KK94647|-31636.99|AUD
B|HUBAU|'4435'||AUHBAP|01352-L|AUD|-459677.95|B|NX49284|-468398.793|AUD
B|HUBAU|'4435'||AUHBAP|03400-x|AUD|625156.46|B|RS90069|686501.654|AUD
B|HUBAU|'4435'||AUHBAP|05766-A|AUD|282734.22|B|XT24869|292343.352|AUD
B|HUBAU|'4435'||AUHBAP|00986-A|AUD|207766.1|T|VZ14780|209236.33|AUD
B|HUBAU|'4435'||AUHBAP|09537-L|AUD|-43325.51|T|KD52332|-47452.602|AUD
B|HUBAU|'4435'||AUHBAP|01560-L|AUD|-118373.01|B|RV28019|-112960.381|AUD
B|HUBAU|'4435'||AUHBAP|09261-L|AUD|-35003.78|B|YC18452|-30084.469|AUD
B|HUBAU|||AUHBAP|01123-A|AUD|1362029.9|T|UB95142|1253831.481|AUD
B|HUBAU|'4435'||AUHBAP|02715-L|AUD|-910560.23|T|OJ35256|-952634.775|AUD
B|HUBAU|'4435'||AUHBAP|03411-A|AUD|133398.53|T|LQ80060|134775.195|AUD
B|HUBAU|'4435'||AHUBAP|03400-x|AUD|-999.99|T|GJ57357|-1054.852|AUD
B|HUBAU|'4435'||AUHBAP|06643-A|CNY|434791.12|T|UI08277|2191553.034|AUD
B|HUBAU|'4435'||AUHBAP|02303-L|AUD|-324216.27|T|BT79379|-304664.972|AUD
B|HUBAU|'4435'|||01761-A||662718.43|B|WA69655|-662718.43|AUD
B|HUBAU|'4435'||AUHBAP|02724-A|xxx|306669.51|T|KE23111|-306669.51|AUD
B|HUBAU|'4435'||AUHBAP|06363-A|AUD|999237.55|B|DH85769|879999.079|AUD
B|HUBAU|'4435'||AUHBAP|04846-A|AUD|577493.27|T|EJ09456|579534.816|AUD
B|HUBAU|'4435'||AUHBAP|08178-L|AUD|-790379.28|B|AA00|-851894.61|
B|HUBAU|'4435'||AUHBAP|07300-L|AUD|-542683.54|B|XJ62418|-524807.253|AUD
B|HUBAU|'4435'||AUHBAP|09391-L|AUD|-302999.73|T|DN54480|-264591.082|AUD
B|HUBAU|'4435'||AUHBAP|01349-L|AUD|-893453.02|T|QV90975|-880076.928|AUD
B|HUBAU|'4435'||AUHBAP|09108-L|AUD|-1026826.79|B|BI11503|-946705.794|AUD
B|HUBAU|'4435'||AUHBAP|05238-L|SGD|-721913.41|T||-868025.455|AUD
